Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,Bengali,46,0,190.0,202.83147011144573,167.0922499615699,350.4839160013944,126.0,0.25798609144393436,0.0,190,200,210,210,230,260,350,350,350,350,350
POST,Gujarati,52,0,200.0,206.29693667489425,173.22962498292327,315.12229196960106,126.0,0.29163645119749104,0.0,200,210,210,220,240,260,310,320,320,320,320
POST,Hindi,39,0,190.0,195.34000643164828,166.71662498265505,394.8530839988962,125.0,0.21872733839811828,0.0,190,190,200,200,210,290,390,390,390,390,390
POST,Kannada,34,0,200.0,208.7773994392003,178.01779200090095,336.022374976892,128.0,0.19068537193682106,0.0,200,210,220,230,250,270,340,340,340,340,340
POST,Malayalam,61,0,190.0,202.30258812891228,171.02616699412465,352.7435419964604,129.0,0.342111990827826,0.0,190,200,210,220,240,270,280,350,350,350,350
POST,Marathi,47,0,190.0,200.51617813395694,165.41220800718293,393.07116699637845,126.0,0.26359448473619385,0.0,190,200,200,210,210,280,390,390,390,390,390
POST,Odia,57,0,200.0,203.85732666360573,167.7624579751864,390.92862501274794,126.0,0.31967841765878824,0.0,200,200,210,210,220,290,290,390,390,390,390
POST,Punjabi,54,0,200.0,219.28828318831856,180.8795839897357,432.2934169904329,131.0,0.30285323778200995,0.0,210,220,220,230,250,330,360,430,430,430,430
POST,Tamil,39,0,190.0,199.39209410222247,163.3386669564061,405.6275000330061,126.0,0.21872733839811828,0.0,190,200,200,210,230,320,410,410,410,410,410
POST,Telugu,54,0,200.0,212.26806633165796,168.56437496608123,400.5581249948591,128.0,0.30285323778200995,0.0,200,210,220,220,290,330,340,400,400,400,400
,Aggregated,483,0,200.0,205.46439042658108,163.3386669564061,432.2934169904329,127.2215320910973,2.708853960161311,0.0,200,200,210,210,240,290,340,390,430,430,430
