Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,Gujarati,4,0,210.0,298.3314585289918,202.62729201931506,415.19654204603285,126.0,0.06935473482299973,0.0,370,370,420,420,420,420,420,420,420,420,420
POST,Hindi,4,0,200.0,200.16894800937735,182.50987498322502,217.56479202304035,125.0,0.06935473482299973,0.0,200,200,220,220,220,220,220,220,220,220,220
POST,Kannada,5,0,210.0,229.03834159951657,198.5069160000421,314.1260420088656,128.0,0.08669341852874966,0.0,210,220,220,310,310,310,310,310,310,310,310
POST,Malayalam,3,0,210.0,276.9802083688167,204.0117080323398,414.11900002276525,129.0,0.0520160511172498,0.0,210,210,410,410,410,410,410,410,410,410,410
POST,Marathi,4,0,270.0,283.03387500636745,192.48425000114366,367.96670797048137,126.0,0.06935473482299973,0.0,300,300,370,370,370,370,370,370,370,370,370
POST,Odia,7,0,210.0,205.01600585079618,186.77687499439344,222.32637502020225,126.0,0.12137078594024953,0.0,210,210,210,210,220,220,220,220,220,220,220
POST,Punjabi,3,0,210.0,225.98936098317304,193.1627499870956,273.83374999044463,131.0,0.0520160511172498,0.0,210,210,270,270,270,270,270,270,270,270,270
POST,Tamil,7,0,190.0,199.30774413348576,177.48504201881588,226.59687499981374,126.0,0.12137078594024953,0.0,190,210,220,220,230,230,230,230,230,230,230
POST,Telugu,5,0,220.0,249.33544179657474,185.27787498896942,435.03108399454504,128.0,0.08669341852874966,0.0,220,220,220,440,440,440,440,440,440,440,440
,Aggregated,42,0,210.0,234.69478574060346,177.48504201881588,435.03108399454504,126.95238095238095,0.7282247156414972,0.0,210,220,220,270,370,410,440,440,440,440,440
